Ⰰ;Ⰰ
Ⰱ;Ⰱ
Ⰲ;Ⰲ
Ⰳ;Ⰳ
Ⰴ;Ⰴ
Ⰵ;Ⰵ
Ⰶ;Ⰶ
Ⰷ;Ⰷ
Ⰸ;Ⰸ
Ⰺ;Ⰺ
Ⰹ;Ⰹ
Ⰻ;Ⰻ
Ⰼ;Ⰼ
Ⰽ;Ⰽ
Ⰾ;Ⰾ
Ⰿ;Ⰿ
Ⱀ;Ⱀ
Ⱁ;Ⱁ
Ⱂ;Ⱂ
Ⱃ;Ⱃ
Ⱄ;Ⱄ
Ⱅ;Ⱅ
Ⱛ;Ⱛ
Ⱆ;Ⱆ
Ⱇ;Ⱇ
Ⱈ;Ⱈ
Ⱉ;Ⱉ
Ⱊ;Ⱊ
Ⱌ;Ⱌ
Ⱍ;Ⱍ
Ⱎ;Ⱎ
Ⱋ;Ⱋ
Ⱏ;Ⱏ
ⰟⰊ;ⰟⰊ
Ⱐ;Ⱐ
Ⱑ;Ⱑ
Ⱖ;Ⱖ
Ⱒ;Ⱒ
Ⱓ;Ⱓ
Ⱔ;Ⱔ
Ⱗ;Ⱗ
Ⱘ;Ⱘ
Ⱙ;Ⱙ
Ⱚ;Ⱚ
